userid,AgeNum,sexe,Condition,timebegin,timeend,value,Valid,J1,J2,J3,CAT
2463, , , ,1643230294381,1643230294627,dfd,0, , , , 
2463, , , ,1643230295315,1643230295658,dfdf,0, , , , 
2463, , , ,1643230296028,1643230296650,dfdfdf,0, , , , 
2463, , , ,1643230297237,1643230297291,df,0, , , , 
2463, , , ,1643230301765,1643230301926,gfgf,0, , , , 
2465, , , ,1644155341001,1644155341582,tyu,0, , , , 
2465, , , ,1644155345306,1644155345669,yyy,0, , , , 
2465, , , ,1644155347552,1644155348019,uio,0, , , , 
2465, , , ,1644155349803,1644155350050,ui,0, , , , 
2465, , , ,1644155365283,1644155365742,uuu,0, , , , 
2465, , , ,1644155376044,1644155376382,ooo,0, , , , 
2466, , , ,1644228867276,1644228878942,Ramasser des sous,1,2,2,5,3
2466, , , ,1644228882963,1644228890920,Pour se protéger du soleil,1,2,1,1,1.33333333333333
2466, , , ,1644228893068,1644228902332,"Pour rattraper de l,eau",1,3,3,4,3.33333333333333
2466, , , ,1644228904342,1644228910389,Pour vendre des fruits,1,5,2,5,4
2466, , , ,1644228917771,1644228925877,Faire cuire un gâteau dedans,1,4,5,5,4.66666666666667
2466, , , ,1644228947173,1644228956899,Pour le lancer sur la tête du voisin,1,4,3,4,3.66666666666667
2466, , , ,1644228959680,1644228968069,Le jeter à la pobelle,1,5,1,2,2.66666666666667
2466, , , ,1644228975420,1644228979486,Mettre de fleurs,1,4,5,5,4.66666666666667
2467, , , ,1644513996063,1644513997584,lancer,1,1,1,2,1.33333333333333
2467, , , ,1644514001714,1644514002735,mettre,1,1,1,1,1
2467, , , ,1644514005916,1644514007839,le prendre,1,1,1,1,1
2467, , , ,1644514011189,1644514013011,le ranger,1,1,1,1,1
2467, , , ,1644514014838,1644514016435,saluer,1,3,2,5,3.33333333333333
2467, , , ,1644514039613,1644514040889,taper,1,2,1,4,2.33333333333333
2467, , , ,1644514053213,1644514056613,le faire rouler,1,4,1,5,3.33333333333333
2467, , , ,1644514067941,1644514069661,le deposer,1,2,1,2,1.66666666666667
2467, , , ,1644514071418,1644514073591,l offrir,1,2,1,4,2.33333333333333
2467, , , ,1644514078992,1644514080961,l acheter,1,2,1,4,2.33333333333333
2467, , , ,1644514089264,1644514091114,le decorer,1,3,1,4,2.66666666666667
2467, , , ,1644514021689,1644514023636,du tissu,1,2,1,2,1.66666666666667
2467, , , ,1644514029488,1644514032113,un manteau,1,1,1,1,1
2467, , , ,1644514103314,1644514106239,petite peluche,1,2,3,2,2.33333333333333
2468, , , ,1644516512466,1644516514964,chaussure,1,3,3,3,3
2468, , , ,1644516517914,1644516521139,aquqrium,1,5,5,5,5
2468, , , ,1644516529736,1644516531562,le lancer,1,1,1,2,1.33333333333333
2468, , , ,1644516537464,1644516539087,le vendre,1,1,1,4,2
2468, , , ,1644516542765,1644516544313,le donner,1,1,1,3,1.66666666666667
2468, , , ,1644516552840,1644516555463,le manger,1,1,1,2,1.33333333333333
2468, , , ,1644516571191,1644516573436,l utiliser,1,1,1,2,1.33333333333333
2468, , , ,1644516578715,1644516580887,le dessiner,1,3,1,5,3
2468, , , ,1644516583839,1644516586386,le sculpter,1,1,1,5,2.33333333333333
2468, , , ,1644516589314,1644516592811,le faire tomber,1,1,1,2,1.33333333333333
2468, , , ,1644516609739,1644516620611,lecrire dessus,1,1,2,2,1.66666666666667
2469, , , ,1644600366385,1644600377372,Plumier,1,4,3,4,3.66666666666667
2469, , , ,1644600369208,1644600370466,Poubelle,1,2,4,4,3.33333333333333
2469, , , ,1644600397320,1644600413581,Pour se cacher,1,1,1,2,1.33333333333333
2469, , , ,1644600420037,1644600421689,Soleil,1,2,1,1,1.33333333333333
2469, , , ,1644600342740,1644600345709,Squelette,1,2,1,1,1.33333333333333
2469, , , ,1644600348295,1644600350723,Cage à oiseau,1,3,3,5,3.66666666666667
2469, , , ,1644600352517,1644600353239,Radio,1,3,1,1,1.66666666666667
2469, , , ,1644600357091,1644600362101,Imprimante,1,4,1,1,2
2469, , , ,1644600363841,1644600364971,Coiffure,1,2,1,3,2
2469, , , ,1644600379621,1644600381124,Alphabet,1,2,1,1,1.33333333333333
2469, , , ,1644600384153,1644600387614,Horloge,1,4,4,1,3
2469, , , ,1644600393147,1644600394703,En retard,0, , , , 
2479, , , ,1645212837353,1645212837881,Llll,0, , , , 
2480, , , ,1645616693019,1645616693019, ,0, , , , 
2491,11.1616438356164,f,T_V,1645706049014,1645706050990,Frisbee,1,1,5,5,3.66666666666667
2491,11.1616438356164,f,T_V,1645706070232,1645706072651,Masque de nuit,1,2,3,5,3.33333333333333
2491,11.1616438356164,f,T_V,1645706095771,1645706096499,Danser,1,1,1,5,2.33333333333333
2491,11.1616438356164,f,T_V,1645706113334,1645706114073,Ranger,1,1,3,4,2.66666666666667
2491,11.1616438356164,f,T_V,1645706115285,1645706124240,Épouvantail pour le jardin,1,4,2,5,3.66666666666667
2491,11.1616438356164,f,T_V,1645706143078,1645706145500,Bonhomme de neige,1,4,2,5,3.66666666666667
2492,11.386301369863,h,T_V,1645707496830,1645707601770,Le maître à  un bobhommede neiges,1,2,2,4,2.66666666666667
2492,11.386301369863,h,T_V,1645707574955,1645707605319,Frisbee,1,1,5,5,3.66666666666667
2493,11.5643835616438,f,T_V,1645710257232,1645710261963,Mettre sur un bonhomme de neige,1,2,2,5,3
2493,11.5643835616438,f,T_V,1645710266015,1645710271765,Se déguiser pour carnaval,1,1,1,5,2.33333333333333
2493,11.5643835616438,f,T_V,1645710276459,1645710279483,Jouer au cowboy,1,1,2,5,2.66666666666667
2493,11.5643835616438,f,T_V,1645710281875,1645710290531,Mendier des pieces,1,2,2,5,3
2493,11.5643835616438,f,T_V,1645710294449,1645710299639,Panier pour mettre des bonbons,1,2,3,4,3
2493,11.5643835616438,f,T_V,1645710303906,1645710306574,Cadeau à offrir,1,2,1,5,2.66666666666667
2493,11.5643835616438,f,T_V,1645710330466,1645710332451,Se cacher,1,2,1,3,2
2493,11.5643835616438,f,T_V,1645710335920,1645710341850,Se protéger les yeux du soleil,1,2,1,1,1.33333333333333
2493,11.5643835616438,f,T_V,1645710348866,1645710351560,Se protéger de la pluie,1,2,1,2,1.66666666666667
2493,11.5643835616438,f,T_V,1645710362681,1645710363703,Bricolage,1,4,1,5,3.33333333333333
2494,11.1342465753425,F,T_V,1645697031573,1645697036766,Mettre dans un musée,1,4,1,5,3.33333333333333
2494,11.1342465753425,F,T_V,1645697038115,1645697040166,Garder en souvenir,1,3,1,5,3
2494,11.1342465753425,F,T_V,1645697048955,1645697057822,Le poser par terre pour que les gens mettent des pièces dedans,1,2,2,5,3
2494,11.1342465753425,F,T_V,1645697059735,1645697071257,"Jouer avec , le lancer et le rattraper",1,1,1,4,2
2494,11.1342465753425,F,T_V,1645697072453,1645697076180,Jongler avec,1,3,3,5,3.66666666666667
2494,11.1342465753425,F,T_V,1645697100041,1645697104366,Le jeter à la poubelle,1,1,3,3,2.33333333333333
2494,11.1342465753425,F,T_V,1645697108036,1645697128744,L’utiliser comme décoration,1,1,1,3,1.66666666666667
2494,11.1342465753425,F,T_V,1645697114293,1645697122629,L’utiliser comme pot de fleur,1,1,5,4,3.33333333333333
2494,11.1342465753425,F,T_V,1645697123851,1645697125685,L’offrir,1,1,1,5,2.33333333333333
2495,10.7397260273973,H,T_V,1645699256567,1645699268860,Le mettre devant le visage pour ne pas voir,1,2,1,4,2.33333333333333
2495,10.7397260273973,H,T_V,1645699270230,1645699278888,Accessoire pour une vidéo tik tok,1,5,1,5,3.66666666666667
2495,10.7397260273973,H,T_V,1645699282120,1645699302325,Chaussure,1,2,3,4,3
2495,10.7397260273973,H,T_V,1645699285070,1645699296589,Le mettre au feu,1,3,2,3,2.66666666666667
2495,10.7397260273973,H,T_V,1645699304036,1645699305715,Le lancer,1,1,1,3,1.66666666666667
2495,10.7397260273973,H,T_V,1645699307246,1645699309785,Faire une passe,1,2,3,4,3
2495,10.7397260273973,H,T_V,1645699312129,1645699314280,Le déchirer,1,3,1,3,2.33333333333333
2495,10.7397260273973,H,T_V,1645699316352,1645699319437,Le jeter à la poubelle,1,2,3,4,3
2495,10.7397260273973,H,T_V,1645699327222,1645699340362,Le mettre sur le toit d’une maison pour dire une maison personnage,1,5,1,2,2.66666666666667
2495,10.7397260273973,H,T_V,1645699344107,1645699355451,Le mettre sur l tête d’un dinosaure au musée,1,5,2,5,4
2495,10.7397260273973,H,T_V,1645699357476,1645699361990,Cacher ses affaires dedans,1,1,3,4,2.66666666666667
2496,10.5260273972603,H,T_V,1645698140473,1645698144432,Le mettre en chaussure,1,2,3,4,3
2496,10.5260273972603,H,T_V,1645698146078,1645698150156,Jouer comme avec un ballon,1,2,3,4,3
2496,10.5260273972603,H,T_V,1645698169575,1645698170920,Le dechirer,1,1,1,2,1.33333333333333
2496,10.5260273972603,H,T_V,1645698176175,1645698178012,Le customiser,1,2,1,5,2.66666666666667
2496,10.5260273972603,H,T_V,1645698183423,1645698186967,Le remplir d’eau,1,2,3,4,3
2496,10.5260273972603,H,T_V,1645698189409,1645698195961,L’utiliser pour faire des tours de magie,1,3,2,5,3.33333333333333
2496,10.5260273972603,H,T_V,1645698219637,1645698225720,Le jeter à la poubelle,1,1,3,4,2.66666666666667
2496,10.5260273972603,H,T_V,1645698234430,1645698236176,Frapper avec,1,1,1,4,2
2496,10.5260273972603,H,T_V,1645698238412,1645698241196,Y mettre le feu,1,2,2,3,2.33333333333333
2496,10.5260273972603,H,T_V,1645698243970,1645698249155,L’utiliser comme barbecue,1,3,5,5,4.33333333333333
2496,10.5260273972603,H,T_V,1645698250435,1645698251470,Le manger,1,1,1,2,1.33333333333333
2497,9.4054794520548,H,T_V,1645690044121,1645690049633,Le mettre sur les yeux,1,2,1,4,2.33333333333333
2497,9.4054794520548,H,T_V,1645690052602,1645690054996,Marcher dedans,1,2,1,3,2
2497,9.4054794520548,H,T_V,1645690062062,1645690065185,Essayer de voler avec,1,4,1,5,3.33333333333333
2497,9.4054794520548,H,T_V,1645690074755,1645690075620,Danser,1,2,1,5,2.66666666666667
2497,9.4054794520548,H,T_V,1645690084399,1645690088629,Mettre de la nourriture dedans,1,2,5,4,3.66666666666667
2497,9.4054794520548,H,T_V,1645690095073,1645690098624,Mettre le chat dedans,1,4,5,4,4.33333333333333
2497,9.4054794520548,H,T_V,1645690112900,1645690116715,Faire des trous dedans,1,3,1,4,2.66666666666667
2497,9.4054794520548,H,T_V,1645690125767,1645690135060,Faire des trous dedans et couper les cheveux qui depassent,1,5,2,5,4
2497,9.4054794520548,H,T_V,1645690144006,1645690157093,Faire une blague en le mettant sur la tête de quelqu’un p,1,4,2,5,3.66666666666667
2498,9.64109589041096,H,T_V,1645691560856,1645691567628,Croquer le chapeau,1,3,1,4,2.66666666666667
2498,9.64109589041096,H,T_V,1645691568862,1645691571177,S’asseoir dedans,1,2,3,3,2.66666666666667
2498,9.64109589041096,H,T_V,1645691572142,1645691573829,Se camoufler,1,2,1,5,2.66666666666667
2498,9.64109589041096,H,T_V,1645691574965,1645691575981,Le lancer,1,1,1,4,2
2498,9.64109589041096,H,T_V,1645691579689,1645691587139,Se baigner avec’ utilise comme bouee,1,4,3,5,4
2498,9.64109589041096,H,T_V,1645691589698,1645691592945,Taper avec un chapeau,1,2,1,3,2
2498,9.64109589041096,H,T_V,1645691594158,1645691599276,Dormir avec le chapeau comme doudou,1,5,3,5,4.33333333333333
2498,9.64109589041096,H,T_V,1645691608995,1645691611722,Payer en chapeau,1,5,2,5,4
2498,9.64109589041096,H,T_V,1645691616947,1645691621459,Chapeau comme assiette,1,2,5,4,3.66666666666667
2498,9.64109589041096,H,T_V,1645691624487,1645691629171,En faire une maison,1,3,3,4,3.33333333333333
2498,9.64109589041096,H,T_V,1645691650827,1645691654199,Tuer avec un chapeau,1,4,3,5,4
2498,9.64109589041096,H,T_V,1645691660225,1645691665250,Viser la poubelle et le lancer dedans,1,3,3,5,3.66666666666667
2498,9.64109589041096,H,T_V,1645691666231,1645691671157,Éteindre la lumière avec un chapeau,1,4,3,5,4
2498,9.64109589041096,H,T_V,1645691672292,1645691673081,Charge,0, , , , 
2499,9.34520547945205,F,T_V,1645692852314,1645692876773,Jouer au Frisbee,1,1,5,5,3.66666666666667
2499,9.34520547945205,F,T_V,1645692867932,1645692871390,Cacher un objet,1,2,3,4,3
2499,9.34520547945205,F,T_V,1645692880937,1645692882952,S’asseoir dedans,1,2,3,4,3
2499,9.34520547945205,F,T_V,1645692890193,1645692904011,Cacher une coupe de cheveu ratee,1,5,3,5,4.33333333333333
2499,9.34520547945205,F,T_V,1645692905275,1645692908265,Utiliser en sac,1,2,4,4,3.33333333333333
2499,9.34520547945205,F,T_V,1645692916269,1645692923964,Cacher son contrôle rate dedans,1,4,4,5,4.33333333333333
2499,9.34520547945205,F,T_V,1645692930917,1645692943988,Faire une blague mettre de la colle dedans pour que notre ami soit chauve,1,5,5,5,5
2499,9.34520547945205,F,T_V,1645692957781,1645692961790,Pot de felur,1,2,5,5,4
2500,6.46301369863014,F,T_V,1645778589899,1645778591964,Masque,1,2,2,3,2.33333333333333
2500,6.46301369863014,F,T_V,1645778593450,1645778605287,Se déguiser,1,1,1,3,1.66666666666667
2500,6.46301369863014,F,T_V,1645778608310,1645778612568,Tour de magie,1,3,2,5,3.33333333333333
2500,6.46301369863014,F,T_V,1645778615314,1645778621320,Le remplir de bonbons,1,2,3,4,3
2500,6.46301369863014,F,T_V,1645778623081,1645778628085,Plat à bonbons,1,3,5,4,4
2500,6.46301369863014,F,T_V,1645778650099,1645778658186,Cacher ses secrets dedans,1,3,4,5,4
2500,6.46301369863014,F,T_V,1645778668108,1645778678446,Se cacher derrière le chapeau,1,2,1,3,2
2500,6.46301369863014,F,T_V,1645778680855,1645778696341,Touche touché et le loup porte le chapeau pour le reconn,1,5,3,5,4.33333333333333
2501,7.0958904109589,F,T_V,1645777260629,1645777263399,Cache un hamster,1,4,3,4,3.66666666666667
2501,7.0958904109589,F,T_V,1645777267990,1645777273018,Protéger du soleil,1,1,1,1,1
2501,7.0958904109589,F,T_V,1645777275266,1645777285770,Protéger de la pluie,1,1,1,1,1
2501,7.0958904109589,F,T_V,1645777325327,1645777329444,Mettre des bonbons dedans,1,2,3,4,3
2501,7.0958904109589,F,T_V,1645777334286,1645777351792,Mettre des papiers avec des noms dans un chapeau et tirer au sort,1,4,3,5,4
2501,7.0958904109589,F,T_V,1645777357408,1645777358735,Danser avec,1,1,1,5,2.33333333333333
2501,7.0958904109589,F,T_V,1645777364891,1645777371254,Le lancer et le rattrapper,1,1,1,4,2
2501,7.0958904109589,F,T_V,1645777372816,1645777376230,Jouer. Cache cache chapeau,1,2,2,5,3
2502,7.04657534246575,H,T_V,1645775936045,1645775941182,Le faire tenir sur l’oreille,1,5,1,5,3.66666666666667
2502,7.04657534246575,H,T_V,1645775956781,1645775961129,Le faire tourner sur le doigt,1,2,3,5,3.33333333333333
2502,7.04657534246575,H,T_V,1645775976364,1645775982561,Le lancer et le rattraper ballon,1,2,3,5,3.33333333333333
2502,7.04657534246575,H,T_V,1645775986588,1645775990169,Jouer au football avec,1,2,3,5,3.33333333333333
2502,7.04657534246575,H,T_V,1645775999480,1645776003402,Cacher ses affaires dedans,1,2,3,4,3
2502,7.04657534246575,H,T_V,1645776023394,1645776029436,Le mettre sur la télévision,1,3,2,2,2.33333333333333
2502,7.04657534246575,H,T_V,1645776038219,1645776042251,Se déguiser,1,2,1,4,2.33333333333333
2503,9,F,T_V,1645781504811,1645781507703,Se cacher derrière,1,1,1,3,1.66666666666667
2503,9,F,T_V,1645781509067,1645781511275,S’asseoir dessus,1,2,2,3,2.33333333333333
2503,9,F,T_V,1645781520841,1645781536452,Le remplir d’eau et boire ou se laver dedans,1,3,5,4,4
2503,9,F,T_V,1645781538660,1645781547439,L’utiliser en corbeille a linge,1,4,4,5,4.33333333333333
2503,9,F,T_V,1645781548758,1645781588548,Chaussure,1,2,3,3,2.66666666666667
2503,9,F,T_V,1645781599238,1645781603277,Cacher ses affaires dedans,1,1,3,4,2.66666666666667
2503,9,F,T_V,1645781604566,1645781604815,Sac,1,2,4,4,3.33333333333333
2504, , , ,1645783977996,1645783981439,Se protéger de la pluie,1,2,1,1,1.33333333333333
2504, , , ,1645783983290,1645783987528,Mettre son animal de compagnie dedans,1,4,5,5,4.66666666666667
2504, , , ,1645784014421,1645784021491,Le laisser s’envoler quand il y a du vent,1,3,1,5,3
2504, , , ,1645784033186,1645784037738,Se déguiser,1,1,1,4,2
2504, , , ,1645784068400,1645784071615,Le manger,1,2,1,2,1.66666666666667
2504, , , ,1645784079449,1645784082897,Le remplir de bonbons,1,2,3,4,3
2505,7.55068493150685,F,T_V,1645793760758,1645793763060,Le tenir en main,1,1,1,4,2
2505,7.55068493150685,F,T_V,1645793771218,1645793781151,Le faire tourner sur sa main,1,4,3,5,4
2505,7.55068493150685,F,T_V,1645793792128,1645793795744,S.asseoir dessus,1,2,2,4,2.66666666666667
2505,7.55068493150685,F,T_V,1645793842218,1645793845323,Faire le clown,1,3,1,5,3
2505,7.55068493150685,F,T_V,1645793846374,1645793848098,Jouer avec,1,1,1,3,1.66666666666667
2506,7.71780821917808,H,T_V,1645794846894,1645794850107,Le lancer et le rattraper,1,1,1,3,1.66666666666667
2506,7.71780821917808,H,T_V,1645794851143,1645794852444,Jouer avec,1,1,1,3,1.66666666666667
2506,7.71780821917808,H,T_V,1645794853720,1645794873911,Le mettre sur un épouvantail,1,3,2,5,3.33333333333333
2506,7.71780821917808,H,T_V,1645794860329,1645794871886,Cacher sa tête,1,1,1,2,1.33333333333333
2506,7.71780821917808,H,T_V,1645794864847,1645794869834,L.attacher autour de son cou,1,2,4,4,3.33333333333333
2506,7.71780821917808,H,T_V,1645794882383,1645794890385,Tour de magie le faire disparaître,1,2,2,5,3
2506,7.71780821917808,H,T_V,1645794905383,1645794918772,Transporter des affaires dedans,1,2,4,4,3.33333333333333
2506,7.71780821917808,H,T_V,1645794936194,1645794937247,Jongler,1,2,3,5,3.33333333333333
2506,7.71780821917808,H,T_V,1645794944801,1645794957143,Mettre un chat dedzns,1,2,4,4,3.33333333333333
2507,7.37260273972603,F,T_V,1645793021655,1645793028326,Le jeter dans la mare aux canards,1,5,2,2,3
2507,7.37260273972603,F,T_V,1645793033476,1645793034141,Danser,1,2,1,5,2.66666666666667
2507,7.37260273972603,F,T_V,1645793047267,1645793050898,Lui raconter nos secrets,1,5,2,5,4
2507,7.37260273972603,F,T_V,1645793062695,1645793070101,S’asseoir dessus,1,3,2,3,2.66666666666667
2507,7.37260273972603,F,T_V,1645793086670,1645793093409,Sa cacher derrière,1,2,1,3,2
2507,7.37260273972603,F,T_V,1645793114510,1645793120140,"Le jeter en l,air et le rattraper",1,2,3,4,3
2508, , , ,1645612652621,1645612668585,Sert pour Jouer avec les animaux,1,3,2,4,3
2508, , , ,1645612647019,1645612650898,Mette sur les animaux,1,2,1,3,2
2508, , , ,1645612681443,1645612682390,Dormir,1,1,2,4,2.33333333333333
2508, , , ,1645612690803,1645612727120,Mettre sur la tête,1,1,1,1,1
2510,8.58082191780822,H,T_V,1645785181178,1645785188394,Lancer en l’air,1,1,1,4,2
2510,8.58082191780822,H,T_V,1645785189970,1645785191993,Boomerang,1,4,5,5,4.66666666666667
2510,8.58082191780822,H,T_V,1645785193807,1645785195437,Frisbee,1,1,5,5,3.66666666666667
2510,8.58082191780822,H,T_V,1645785206494,1645785218349,Assiette pour la nourriture du chat,1,2,5,5,4
2510,8.58082191780822,H,T_V,1645785224293,1645785233589,Le transformer en sac,1,2,4,4,3.33333333333333
2510,8.58082191780822,H,T_V,1645785235156,1645785237338,Poubelle,1,1,4,4,3
2510,8.58082191780822,H,T_V,1645785240199,1645785254072,Viser en jetant des objets dedans de loin,1,4,2,5,3.66666666666667
2510,8.58082191780822,H,T_V,1645785259394,1645785269025,S’essuyer les mains dessus,1,4,2,4,3.33333333333333
2510,8.58082191780822,H,T_V,1645785271241,1645785273341,Mendier,1,3,2,5,3.33333333333333
2510,8.58082191780822,H,T_V,1645785275241,1645785281863,Tour de magie,1,2,2,5,3
2510,8.58082191780822,H,T_V,1645785283473,1645785287297,Le lancer sur quelqu’un,1,2,3,3,2.66666666666667
2520,11.641095890411,H,tdah,1646409943911,1646409953470,Décorer un mannequin,1,3,2,5,3.33333333333333
2521,12.7643835616438,H,T_V,1646413638514,1646413721538,Multicolores,0, , , , 
2521,12.7643835616438,H,T_V,1646413662484,1646413714431,À plumes,0, , , , 
2528, , , ,1646580690570,1646580696661,Récipient,1,2,3,4,3
2528, , , ,1646580699366,1646580703036,Pot de fleur,1,4,5,5,4.66666666666667
2528, , , ,1646580718792,1646580722207,Protection,1,2,1,1,1.33333333333333
2528, , , ,1646580755617,1646580757858,Oreiller,1,2,3,5,3.33333333333333
2528, , , ,1646580764541,1646580765614,Plat,1,1,5,4,3.33333333333333
2528, , , ,1646580777790,1646580778560,Sac,1,2,4,4,3.33333333333333
2532, , , ,1646650732446,1646650735772,goblet,1,2,5,4,3.66666666666667
2532, , , ,1646650741675,1646650743641,un évantail,1,4,4,5,4.33333333333333
2532, , , ,1646650747528,1646650762918,on porte oeuf de paques,1,5,4,5,4.66666666666667
2532, , , ,1646650767663,1646650775943,un sac de vomis,1,4,4,5,4.33333333333333
2532, , , ,1646650779532,1646650788388,un pot pour mander,1,2,2,5,3
2532, , , ,1646650799359,1646650800830,une toilette,1,3,4,4,3.66666666666667
2532, , , ,1646650806983,1646650836425,un frisbee,1,1,5,5,3.66666666666667
2688, , , ,1646760526625,1646760547945,Un pot pour ranger,1,3,3,4,3.33333333333333
2688, , , ,1646760530264,1646760533514,Une assiette,1,2,5,4,3.66666666666667
2688, , , ,1646760567552,1646760573965,Un oreiller,1,2,3,5,3.33333333333333
2787,10.3890410958904,F,T_V,1647433690370,1647433700094,Freesbe,1,1,5,5,3.66666666666667
2787,10.3890410958904,F,T_V,1647433708117,1647433724826,Jouer au coq boy,1,1,2,5,2.66666666666667
2787,10.3890410958904,F,T_V,1647433726189,1647433727603,Bateau,1,3,5,5,4.33333333333333
2787,10.3890410958904,F,T_V,1647433733317,1647433741070,Peindre avec,1,2,3,4,3
2789,10.7095890410959,F,T_V,1647506303481,1647506308530,Lancer,1,1,1,4,2
2789,10.7095890410959,F,T_V,1647506312264,1647506322635,Cowboy,1,1,2,4,2.33333333333333
2789,10.7095890410959,F,T_V,1647506331322,1647506334038,Coudre,1,4,2,4,3.33333333333333
2789,10.7095890410959,F,T_V,1647506339226,1647506341310,Soleil,1,1,1,1,1
2789,10.7095890410959,F,T_V,1647506350766,1647506359997,Proteger,1,1,1,1,1
2789,10.7095890410959,F,T_V,1647506290603,1647506297147,Tête,0, , , , 
2790,11.8821917808219,F,T_V,1647504205282,1647504206603,Jongler,1,2,3,5,3.33333333333333
2790,11.8821917808219,F,T_V,1647504216296,1647504217478,Saluer,1,1,2,5,2.66666666666667
2790,11.8821917808219,F,T_V,1647504220405,1647504221408,Jouer,1,1,1,2,1.33333333333333
2790,11.8821917808219,F,T_V,1647504242392,1647504271579,Récolter de l argent,1,3,2,5,3.33333333333333
2790,11.8821917808219,F,T_V,1647504293160,1647504301470,Lancer en l air po,1,1,2,4,2.33333333333333
2791,11.3232876712329,H,T_V,1648108971432,1648108980192,Cacher le soleil,1,1,1,1,1
